Country,Region,Regional Party Name,Comment,Interim,Year became party leader,Year ended as party leader,Party leader,Female party leader,National Sister Party,Co-leadership,Source
Canada,Quebec,Quebec Liberal Party,,0,2020,2022,Dominique Anglade,1,Liberal,0,
Canada,Quebec,Quebec Liberal Party,,1,2022,2025,Marc Tanguay,0,Liberal,0,
Canada,Quebec,Quebec Liberal Party,,0,2025,2025,Pablo Rodriguez,0,Liberal,0,
Canada,Quebec,Quebec Liberal Party,,1,2025,2026,Marc Tanguay,0,Liberal,0,
Canada,Quebec,Quebec Liberal Party,,0,2026,,Charles Milliard,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,Regional party established in 1905.,0,1905,1916,Walter Scott,0,Liberal,0,https://en.wikipedia.org/wiki/Saskatchewan_Progress_Party#Party_leaders
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1916,1922,William Martin,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1922,1926,Charles Dunning,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1926,1935,Jimmy Gardiner,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1935,1946,William John Patterson,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1946,1954,Walter Tucker,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1954,1959,Alexander Hamilton McDonald,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1959,1971,Ross Thatcher,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1971,1976,David Steuart,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1976,1981,Ted Malone,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1981,1988,Ralph Goodale,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1989,1995,Lynda Haverstock,1,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,1,1995,1996,Ron Osika,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,1996,2001,Jim Melenchuk,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,2001,2007,David Karwacki,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,1,2007,2009,Frank Proto,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,2009,2012,Ryan Bater,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,1,2012,2013,Greg Gallagher,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,Interim until becoming permanent leader in 2014.,0,2013,2017,Darrin Lamoureux,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,1,2017,2018,Tara Jijian,1,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,0,2018,2020,Naveed Anwar,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,,1,2020,2021,Robert Rudachyk,0,Liberal,0,
Canada,Saskatchewan,Liberal Party of Saskatchewan,Changed name to Saskatchewan Progress Party in 2023.,0,2021,2023,Jeffrey Walters,0,Liberal,0,
Canada,Saskatchewan,Saskatchewan Progress Party,,1,2023,2024,Nathan Bruce,0,Liberal,0,
Canada,Saskatchewan,Saskatchewan Progress Party,,1,2024,,Teunis Peters,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,"Regional party established in 1978, when partisan territorial politics began.",0,1978,1981,Iain MacKay,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,1981,1984,Ron Veale,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,1984,1986,Roger Coles,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,1986,1989,Jim McLachlan,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,1989,1992,Paul Thériault,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,1,1992,1995,Jack Cable,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,1995,1997,Ken Taylor,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,1,1997,1998,Jack Cable,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,1998,2005,Pat Duncan,1,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,2005,2011,Arthur Mitchell,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,1,2011,2012,Darius Elias,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,"Interim leader until 2014, when acclaimed permanent leader.",1,2012,2014,Sandy Silver,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,2014,2023,Sandy Silver,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,2023,2025,Ranj Pillai,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,0,2025,2026,Mike Pemberton,0,Liberal,0,
Canada,Yukon,Yukon Liberal Party,,1,2026,,Debra-Leigh Reti,1,Liberal,0,
